Time,Motor_0,Motor_1,Motor_2,Motor_3
0.0000,-37.905,88.383,-13.799,-5.248
0.0262,-37.804,88.273,-9.492,-5.268
0.0421,-37.418,87.879,-5.889,-5.296
0.0582,-36.671,87.129,-2.461,-5.392
0.0741,-35.616,86.061,0.967,-5.767
0.0901,-34.323,84.764,4.395,-6.302
0.1061,-32.762,83.190,7.734,-6.982
0.1222,-30.887,81.305,11.074,-7.939
0.1382,-28.713,79.122,14.414,-8.977
0.1542,-26.251,76.653,17.754,-10.229
0.1702,-23.523,73.936,21.094,-11.686
0.1862,-20.630,71.077,24.521,-13.194
0.2022,-17.720,68.155,28.037,-14.874
0.2183,-14.898,65.242,31.553,-16.696
0.2343,-12.065,62.401,35.156,-18.619
0.2503,-9.249,59.577,38.760,-20.607
0.2663,-6.442,56.771,42.100,-22.798
0.2823,-3.463,53.975,42.803,-24.792
0.2984,-0.663,51.170,41.660,-26.639
0.3144,2.143,48.370,39.639,-28.246
0.3303,4.946,45.564,37.090,-29.546
0.3464,7.748,42.763,34.189,-30.640
0.3624,10.549,39.966,31.113,-31.435
0.3784,13.347,37.166,27.773,-31.909
0.3944,16.149,34.368,24.434,-32.132
0.4103,18.953,31.569,21.006,-32.095
0.4263,21.749,28.768,17.578,-31.714
0.4424,24.552,25.967,14.238,-31.097
0.4583,27.355,23.164,10.811,-30.256
0.4743,30.154,20.360,7.471,-29.174
0.4903,32.958,17.561,4.131,-27.925
0.5063,35.760,14.756,0.791,-26.514
0.5223,38.560,11.952,-2.637,-24.950
0.5384,41.363,9.154,-5.889,-23.238
0.5543,44.164,6.351,-9.229,-21.458
0.5703,46.965,3.552,-12.568,-19.547
0.5863,49.768,0.754,-15.820,-17.503
0.6023,52.566,-2.047,-19.160,-15.455
0.6183,55.370,-4.845,-22.412,-13.248
0.6343,58.172,-7.645,-25.400,-11.011
0.6503,60.968,-10.444,-27.422,-8.726
0.6664,63.769,-13.239,-28.564,-6.382
0.6823,66.569,-16.041,-29.180,-3.968
0.6983,69.371,-18.846,-29.268,-1.501
0.7143,72.171,-21.638,-29.268,0.957
0.7303,74.968,-24.441,-28.916,3.346
0.7463,77.772,-27.242,-27.949,5.689
0.7623,80.577,-30.045,-26.631,7.980
0.7783,83.376,-32.849,-24.961,10.130
0.7943,86.179,-35.652,-22.852,12.121
0.8103,88.980,-38.457,-20.391,13.956
0.8263,91.778,-41.257,-17.578,15.624
0.8423,94.580,-44.055,-14.590,17.027
0.8583,97.377,-46.857,-11.514,18.266
0.8743,100.175,-49.656,-8.174,19.240
0.8903,102.977,-52.450,-4.658,19.943
0.9063,105.774,-55.254,-1.230,20.419
0.9223,108.574,-58.055,2.461,20.607
0.9383,111.200,-60.851,6.064,20.542
0.9543,114.171,-63.651,9.668,20.188
0.9703,116.975,-66.453,13.271,19.585
0.9863,119.603,-69.258,16.875,18.704
1.0023,122.404,-72.060,20.391,17.617
1.0183,124.596,-74.873,24.170,16.375
1.0343,124.494,-77.659,28.037,14.990
1.0503,123.589,-80.455,31.641,13.380
1.0663,122.734,-83.262,35.156,11.731
1.0823,121.847,-86.070,38.584,9.862
1.0983,120.583,-88.871,41.748,7.942
1.1143,118.978,-91.674,44.209,5.969
1.1303,117.350,-94.478,46.143,3.856
1.1463,115.804,-97.276,47.637,1.663
1.1623,114.235,-100.075,48.691,-0.557
1.1783,112.348,-102.877,49.395,-2.855
1.1943,110.517,-105.375,49.658,-5.247
1.2103,108.770,-105.783,49.658,-7.592
1.2263,106.662,-104.793,49.395,-10.043
1.2424,104.594,-103.850,48.516,-12.598
1.2583,102.624,-102.986,47.285,-15.012
1.2743,100.435,-101.683,45.703,-17.535
1.2903,98.160,-99.917,43.770,-20.014
1.3063,95.834,-97.906,41.309,-22.262
1.3223,93.297,-95.667,38.584,-24.137
1.3383,90.978,-93.112,35.771,-25.783
1.3543,88.268,-90.308,32.871,-27.082
1.3703,85.818,-87.482,29.619,-28.155
1.3862,83.154,-84.682,26.279,-28.822
1.4023,80.420,-81.853,22.939,-29.245
1.4183,77.624,-79.025,19.600,-29.350
1.4343,74.797,-76.206,16.084,-29.215
1.4503,71.972,-73.400,12.744,-28.718
1.4663,69.155,-70.597,9.404,-27.977
1.4822,66.352,-67.795,5.977,-27.097
1.4982,63.547,-64.997,2.725,-25.873
1.5143,60.572,-62.195,-0.703,-24.578
1.5303,57.947,-59.393,-4.043,-23.033
1.5462,55.143,-56.595,-7.383,-21.530
1.5622,52.344,-53.791,-10.723,-19.715
1.5782,49.545,-50.989,-13.975,-17.934
1.5943,46.565,-48.190,-17.227,-15.893
1.6102,43.940,-45.386,-20.566,-13.843
1.6262,41.138,-42.585,-23.818,-11.688
1.6422,38.337,-39.787,-26.367,-9.492
1.6582,35.539,-36.986,-28.037,-7.381
1.6742,32.735,-34.187,-28.916,-5.082
1.6902,29.935,-31.382,-29.355,-2.491
1.7062,27.138,-28.585,-29.355,-0.116
1.7222,24.335,-25.786,-29.180,2.149
1.7382,21.538,-22.982,-28.477,4.522
1.7542,18.560,-20.180,-27.334,6.915
1.7702,15.930,-17.378,-25.752,8.875
1.7863,12.956,-14.576,-23.906,10.634
1.8022,10.329,-11.775,-21.621,12.080
1.8182,7.526,-8.972,-18.984,13.192
1.8342,4.727,-6.173,-16.084,14.071
1.8502,1.924,-3.374,-13.008,14.699
1.8662,-0.876,-0.573,-9.756,15.008
1.8822,-3.675,2.225,-6.328,15.033
1.8982,-6.479,5.020,-2.900,14.860
1.9142,-9.278,7.823,0.615,14.324
1.9303,-12.258,10.623,4.131,13.439
