Format Version,1.1,Take Name,Take 2026-06-19 04.10.03 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-19 04.10.03.102 PM,Total Frames,36281,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000,Marker-10001,Marker-10001,Marker-10001,Marker-10002,Marker-10002,Marker-10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.475713,1.378140,0.933957,-1.493929,1.383179,0.909968,-1.516707,1.392890,0.929107
1,0.008333,-1.475722,1.378137,0.933957,-1.493936,1.383184,0.909969,-1.516712,1.392888,0.929106
2,0.016667,-1.475730,1.378144,0.933960,-1.493965,1.383176,0.909956,-1.516727,1.392886,0.929111
3,0.025000,-1.475731,1.378143,0.933956,-1.493970,1.383172,0.909949,-1.516726,1.392895,0.929121
4,0.033333,-1.475728,1.378133,0.933959,-1.493923,1.383114,0.909954,-1.516723,1.392873,0.929108
5,0.041667,-1.475720,1.378130,0.933952,-1.493958,1.383153,0.909941,-1.516719,1.392871,0.929104
6,0.050000,-1.475719,1.378126,0.933952,-1.493951,1.383155,0.909943,-1.516705,1.392870,0.929108
7,0.058333,-1.475718,1.378127,0.933952,-1.493952,1.383157,0.909945,-1.516716,1.392870,0.929105
8,0.066667,-1.475715,1.378128,0.933949,-1.493932,1.383173,0.909964,-1.516713,1.392868,0.929108
9,0.075000,-1.475706,1.378115,0.933949,-1.493913,1.383178,0.909976,-1.516704,1.392880,0.929115
10,0.083333,-1.475701,1.378127,0.933952,-1.493899,1.383193,0.909990,-1.516697,1.392880,0.929102
11,0.091667,-1.475703,1.378138,0.933944,-1.493892,1.383202,0.909999,-1.516698,1.392890,0.929103
12,0.100000,-1.475706,1.378140,0.933943,-1.493898,1.383204,0.909994,-1.516695,1.392892,0.929115
13,0.108333,-1.475702,1.378141,0.933949,-1.493896,1.383204,0.909997,-1.516693,1.392891,0.929103
14,0.116667,-1.475700,1.378146,0.933956,-1.493886,1.383215,0.910012,-1.516685,1.392900,0.929111
15,0.125000,-1.475708,1.378150,0.933956,-1.493916,1.383196,0.909970,-1.516690,1.392906,0.929110
16,0.133333,-1.475702,1.378147,0.933956,-1.493927,1.383188,0.909965,-1.516693,1.392901,0.929105
17,0.141667,-1.475698,1.378146,0.933952,-1.493909,1.383187,0.909966,-1.516679,1.392906,0.929118
18,0.150000,-1.475696,1.378143,0.933957,-1.493906,1.383184,0.909974,-1.516682,1.392898,0.929108
19,0.158333,-1.475708,1.378141,0.933958,-1.493922,1.383183,0.909974,-1.516694,1.392893,0.929125
20,0.166667,-1.475721,1.378135,0.933957,-1.493946,1.383171,0.909961,-1.516873,1.392757,0.928971
21,0.175000,-1.475723,1.378126,0.933947,-1.493934,1.383172,0.909970,-1.516714,1.392875,0.929105
22,0.183333,-1.475721,1.378121,0.933949,-1.493918,1.383188,0.909994,-1.516713,1.392879,0.929117
23,0.191667,-1.475728,1.378123,0.933948,-1.493936,1.383170,0.909974,-1.516725,1.392873,0.929107
24,0.200000,-1.475727,1.378128,0.933981,-1.493958,1.383169,0.909958,-1.516732,1.392867,0.929103
25,0.208333,-1.475732,1.378119,0.933952,-1.493950,1.383172,0.909961,-1.516722,1.392867,0.929105
26,0.216667,-1.475733,1.378122,0.933948,-1.493938,1.383180,0.909977,-1.516725,1.392871,0.929107
27,0.225000,-1.475737,1.378132,0.933951,-1.493944,1.383179,0.909980,-1.516732,1.392879,0.929121
28,0.233333,-1.475747,1.378136,0.933948,-1.493961,1.383185,0.909974,-1.516900,1.392748,0.928970
29,0.241667,-1.475740,1.378134,0.933955,-1.493956,1.383182,0.909970,-1.516888,1.392751,0.928974
30,0.250000,-1.475733,1.378134,0.933954,-1.493949,1.383179,0.909976,-1.516719,1.392888,0.929123
31,0.258333,-1.475729,1.378144,0.933990,-1.493957,1.383180,0.909966,-1.516885,1.392759,0.928976
32,0.266667,-1.475741,1.378139,0.933956,-1.493976,1.383170,0.909944,-1.516888,1.392756,0.928972
33,0.275000,-1.475733,1.378129,0.933958,-1.493938,1.383194,0.909975,-1.516721,1.392895,0.929118
34,0.283333,-1.475716,1.378130,0.933952,-1.493919,1.383192,0.909981,-1.516712,1.392884,0.929104
35,0.291667,-1.475712,1.378133,0.933952,-1.493919,1.383192,0.909981,-1.516705,1.392886,0.929106
36,0.300000,-1.475708,1.378133,0.933957,-1.493921,1.383190,0.909976,-1.516698,1.392888,0.929106
37,0.308333,-1.475705,1.378134,0.933955,-1.493846,1.383152,0.910017,-1.516695,1.392891,0.929103
38,0.316667,-1.475711,1.378125,0.933955,-1.493900,1.383199,0.910002,-1.516693,1.392887,0.929100
39,0.325000,-1.475706,1.378130,0.933950,-1.493895,1.383203,0.910017,-1.516696,1.392887,0.929107
40,0.333333,-1.475702,1.378137,0.933986,-1.493909,1.383190,0.909995,-1.516700,1.392892,0.929108
41,0.341667,-1.475705,1.378139,0.933960,-1.493926,1.383178,0.909975,-1.516700,1.392891,0.929112
42,0.350000,-1.475699,1.378140,0.933994,-1.493937,1.383170,0.909955,-1.516688,1.392905,0.929122
43,0.358333,-1.475706,1.378146,0.933963,-1.493931,1.383183,0.909975,-1.516702,1.392897,0.929111
44,0.366667,-1.475730,1.378140,0.933967,-1.493952,1.383183,0.909973,-1.516724,1.392891,0.929115
